,0,************************************,**************W*********************,****B*********W*********************,****B*********W********************W,*B**B*****W************************W,*B**B*****W*W**********************W,***BBB****W*W**********************W,*B**B**B**W*W******W***************W,*B**B**BB*W***W****W***************W,**BBBB****W***W**W*W***************W,**BBBB**B*W***W**W*W*************W**,*BBBBB**B*WW**W**W*W*************W**,*BBBBB**B*WW**W**W*W****W**W********
2/2 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 3R,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
2/4 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 2L,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2/8 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 1L,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
2/9 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 1L,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
3/2 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3/8 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
