,0,************************************,**************W*********************,****B*********W*********************,****B*********W********************W,*B**B*****W************************W,*B**B*****W*W**********************W,***BBB****W*W**********************W,*B**B**B**W*W******W***************W,*B**B**BB*W***W****W***************W,**BBBB****W***W**W*W***************W,**BBBB**B*W***W**W*W*************W**,*BBBBB**B*WW**W**W*W*************W**,*BBBBB**B*WW**W**W*W****W**W********
4/6 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7 4L,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
4/7 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 1L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 1R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 2L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 2R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 3L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 3R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 4L,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9 4R,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
